fecha,recinto,nombre_evento,tipo_evento,hora_inicio,asistencia_estimada,nivel_impacto,fecha_hora_evento
2023-01-07,Estadio BBVA,Rayados vs Chivas (Temporada Regular),Futbol,21:10,53500,3,2023-01-07 21:10:00
2023-01-08,Estadio Universitario,Tigres vs Pachuca (Temporada Regular),Futbol,19:00,42000,2,2023-01-08 19:00:00
2023-02-11,Estadio Universitario,Tigres vs Pumas (Temporada Regular),Futbol,19:10,42000,2,2023-02-11 19:10:00
2023-03-03,Estadio BBVA,Rayados vs Juárez (Temporada Regular),Futbol,19:00,53500,3,2023-03-03 19:00:00
2023-03-04,Estadio Universitario,Tigres vs Necaxa (Temporada Regular),Futbol,19:00,42000,2,2023-03-04 19:00:00
2023-03-18,Estadio Universitario,Tigres vs Rayados (Clásico Regio),Futbol,19:00,42000,2,2023-03-18 19:00:00
2023-04-18,Auditorio Citibanamex,Concierto The Killers (Promedio),Concierto_Masivo,21:00,8000,1,2023-04-18 21:00:00
2023-04-30,Estadio Universitario,Tigres vs León (Temporada Regular),Futbol,19:10,42000,2,2023-04-30 19:10:00
2023-07-08,Estadio BBVA,Rayados vs Atlas (Temporada Regular),Futbol,19:00,53500,3,2023-07-08 19:00:00
2023-08-18,Estadio BBVA,Rayados vs Cruz Azul (Temporada Regular),Futbol,19:00,53500,3,2023-08-18 19:00:00
2023-08-27,Estadio BBVA,Rayados vs Cruz Azul (Temporada Regular),Futbol,20:00,53500,3,2023-08-27 20:00:00
2023-09-16,Estadio BBVA,Rayados vs León (Temporada Regular),Futbol,19:00,53500,3,2023-09-16 19:00:00
2023-09-23,Estadio Universitario,Tigres vs Rayados (Clásico Regio),Futbol,21:00,42000,2,2023-09-23 21:00:00
2023-09-30,Estadio BBVA,Rayados vs Santos (Temporada Regular),Futbol,19:00,53500,3,2023-09-30 19:00:00
2023-10-07,Estadio BBVA,Rayados vs Juárez (Temporada Regular),Futbol,17:00,53500,3,2023-10-07 17:00:00
2023-10-21,Parque Fundidora,Heineken Silver Live Out 2023,Festival,14:00,100000,4,2023-10-21 14:00:00
2023-10-28,Estadio BBVA,Rayados vs América (Temporada Regular),Futbol,21:00,53500,3,2023-10-28 21:00:00
2023-10-31,Estadio BBVA,Rayados vs Necaxa (Temporada Regular),Futbol,21:00,53500,3,2023-10-31 21:00:00
2024-06-06,Estadio BBVA,Rayados vs Pumas (Temporada Regular),Futbol,19:00,53500,3,2024-06-06 19:00:00
2024-07-06,Estadio Universitario,Tigres vs Necaxa (Temporada Regular),Futbol,19:00,42000,2,2024-07-06 19:00:00
2024-07-13,Estadio BBVA,Rayados vs Cruz Azul (Temporada Regular),Futbol,21:10,53500,3,2024-07-13 21:10:00
2024-07-17,Estadio Universitario,Tigres vs América (Temporada Regular),Futbol,21:00,42000,2,2024-07-17 21:00:00
2024-07-20,Estadio BBVA,Rayados vs Querétaro (Temporada Regular),Futbol,19:00,53500,3,2024-07-20 19:00:00
2024-08-24,Estadio Universitario,Tigres vs Chivas (Temporada Regular),Futbol,21:00,42000,2,2024-08-24 21:00:00
2024-08-31,Estadio BBVA,Rayados vs Toluca (Temporada Regular),Futbol,19:00,53500,3,2024-08-31 19:00:00
2024-09-13,Estadio Universitario,Tigres vs Atlético San Luis (Temporada Regular),Futbol,20:00,42000,2,2024-09-13 20:00:00
2024-09-18,Estadio BBVA,Rayados vs FC Juárez (Temporada Regular),Futbol,21:00,53500,3,2024-09-18 21:00:00
2024-09-21,Estadio BBVA,Rayados vs Mazatlán (Temporada Regular),Futbol,19:00,53500,3,2024-09-21 19:00:00
2024-09-27,Estadio Universitario,Tigres vs León (Temporada Regular),Futbol,20:00,42000,2,2024-09-27 20:00:00
